date,energy
2019-04-20,180.518
2019-04-21,83.33
2019-04-22,183.77800000000002
2019-04-23,240.532
2019-04-24,147.222
2019-04-25,205.627
2019-04-26,271.731
2019-04-27,294.773
2019-04-28,146.473
2019-04-29,215.096
2019-04-30,230.12
2019-05-01,204.66299999999998
2019-05-02,196.208
2019-05-03,189.43200000000002
2019-05-04,239.048
2019-05-05,199.175
2019-05-06,275.163
2019-05-07,180.82
2019-05-08,279.049
2019-05-09,200.789
2019-05-10,297.702
2019-05-11,158.761
2019-05-12,189.74
2019-05-13,247.168
2019-05-14,373.896
2019-05-15,342.974
2019-05-16,301.071
2019-05-17,271.043
2019-05-18,201.829
2019-05-19,188.273
2019-05-20,302.417
2019-05-21,310.545
2019-05-22,237.653
2019-05-23,369.513
2019-05-24,276.424
2019-05-25,247.072
2019-05-26,225.873
2019-05-27,151.669
2019-05-28,183.143
2019-05-29,188.52700000000002
2019-05-30,207.651
2019-05-31,187.644
2019-06-01,244.263
2019-06-02,173.59199999999998
2019-06-03,201.269
2019-06-04,191.161
2019-06-05,154.921
2019-06-06,266.975
2019-06-07,196.174
2019-06-08,267.075
2019-06-09,146.10399999999998
2019-06-10,238.779
2019-06-11,281.586
2019-06-12,228.701
2019-06-13,169.793
2019-06-14,197.5
2019-06-15,273.838
2019-06-16,143.401
2019-06-17,325.899
2019-06-18,167.47899999999998
2019-06-19,373.877
2019-06-20,255.192
2019-06-21,223.199
2019-06-22,111.352
2019-06-23,175.98
2019-06-24,201.067
2019-06-25,235.645
2019-06-26,277.12
2019-06-27,192.064
2019-06-28,279.543
2019-06-29,194.784
2019-06-30,110.441
2019-07-01,249.72299999999998
2019-07-02,195.21
2019-07-03,160.15
2019-07-04,108.531
2019-07-05,120.357
2019-07-06,254.768
2019-07-07,142.539
2019-07-08,258.626
2019-07-09,298.481
2019-07-10,293.072
2019-07-11,259.68399999999997
2019-07-12,261.76800000000003
2019-07-13,249.388
2019-07-14,273.06600000000003
2019-07-15,247.538
2019-07-16,214.804
2019-07-17,363.21
2019-07-18,286.0
2019-07-19,410.838
2019-07-20,182.694
2019-07-21,201.949
2019-07-22,260.776
2019-07-23,284.839
2019-07-24,268.742
2019-07-25,236.431
2019-07-26,220.625
2019-07-27,263.755
2019-07-28,219.622
2019-07-29,231.416
2019-07-30,358.714
2019-07-31,252.65
2019-08-01,279.595
2019-08-02,196.905
2019-08-03,234.178
2019-08-04,185.266
2019-08-05,230.37
2019-08-06,143.189
2019-08-07,319.369
2019-08-08,278.15
